1,1,0.01639344262295082,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 100kW, 0900-1200: 0kW, 1200-1500: 50kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 50kW])
7,2,0.11475409836065574,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
7,3,0.11475409836065574,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 25kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 75kW, 2100-0000: 100kW])
8,1,0.13114754098360656,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 25kW])
8,2,0.13114754098360656,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
8,3,0.13114754098360656,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 25kW, 0600-0900: 50kW, 0900-1200: 0kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 100kW, 2100-0000: 100kW])
9,1,0.14754098360655737,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 75kW, 2100-0000: 0kW])
9,2,0.14754098360655737,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
9,3,0.14754098360655737,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 100kW, 0600-0900: 100kW, 0900-1200: 75kW, 1200-1500: 50kW, 1500-1800: 0kW, 1800-2100: 75kW, 2100-0000: 0kW])
10,1,0.16393442622950818,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 100kW, 0900-1200: 50kW, 1200-1500: 0kW, 1500-1800: 0kW, 1800-2100: 75kW, 2100-0000: 25kW])
10,2,0.16393442622950818,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
10,3,0.16393442622950818,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 25kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 0kW, 2100-0000: 100kW])
11,1,0.18032786885245902,Agent10@259,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 50kW, 1200-1500: 0kW, 1500-1800: 50kW, 1800-2100: 0kW, 2100-0000: 0kW])
11,2,0.18032786885245902,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
11,3,0.18032786885245902,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 75kW, 1800-2100: 75kW, 2100-0000: 75kW])
12,1,0.19672131147540983,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 100kW, 0600-0900: 0kW, 0900-1200: 100kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 75kW, 2100-0000: 0kW])
12,2,0.19672131147540983,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
12,3,0.19672131147540983,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 0kW])
13,1,0.21311475409836064,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 50kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 0kW, 1800-2100: 25kW, 2100-0000: 75kW])
13,2,0.21311475409836064,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
13,3,0.21311475409836064,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 75kW, 0600-0900: 50kW, 0900-1200: 75kW, 1200-1500: 25kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 0kW])
14,1,0.22950819672131148,Agent10@259,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 50kW, 1800-2100: 75kW, 2100-0000: 0kW])
14,2,0.22950819672131148,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
14,3,0.22950819672131148,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 100kW, 0600-0900: 100kW, 0900-1200: 25kW, 1200-1500: 100kW, 1500-1800: 0kW, 1800-2100: 0kW, 2100-0000: 100kW])
15,1,0.2459016393442623,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 0kW, 1200-1500: 75kW, 1500-1800: 50kW, 1800-2100: 0kW, 2100-0000: 0kW])
15,2,0.2459016393442623,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
15,3,0.2459016393442623,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 100kW, 2100-0000: 0kW])
16,1,0.26229508196721313,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 50kW, 0900-1200: 25kW, 1200-1500: 100kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 50kW])
16,2,0.26229508196721313,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
16,3,0.26229508196721313,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 50kW, 0600-0900: 100kW, 0900-1200: 75kW, 1200-1500: 0kW, 1500-1800: 75kW, 1800-2100: 25kW, 2100-0000: 100kW])
17,1,0.2786885245901639,Agent10@259,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 0kW, 0600-0900: 50kW, 0900-1200: 50kW, 1200-1500: 0kW, 1500-1800: 50kW, 1800-2100: 0kW, 2100-0000: 0kW])
17,2,0.2786885245901639,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
17,3,0.2786885245901639,ConcederNegotiationParty@261,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 25kW, 0600-0900: 50kW, 0900-1200: 25kW, 1200-1500: 25kW, 1500-1800: 100kW, 1800-2100: 25kW, 2100-0000: 75kW])
18,1,0.29508196721311475,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 75kW])
18,2,0.29508196721311475,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
18,3,0.29508196721311475,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
19,1,0.3114754098360656,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 25kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
19,2,0.3114754098360656,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
19,3,0.3114754098360656,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
20,1,0.32786885245901637,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 100kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
20,2,0.32786885245901637,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
20,3,0.32786885245901637,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
21,1,0.3442622950819672,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 25kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 0kW, 1800-2100: 25kW, 2100-0000: 0kW])
21,2,0.3442622950819672,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
21,3,0.3442622950819672,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
22,1,0.36065573770491804,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 50kW, 1500-1800: 0kW, 1800-2100: 25kW, 2100-0000: 0kW])
22,2,0.36065573770491804,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
22,3,0.36065573770491804,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
23,1,0.3770491803278688,Agent10@259,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 25kW, 0600-0900: 25kW, 0900-1200: 0kW, 1200-1500: 75kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 25kW])
23,2,0.3770491803278688,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
23,3,0.3770491803278688,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
24,1,0.39344262295081966,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 75kW, 0600-0900: 100kW, 0900-1200: 25kW, 1200-1500: 100kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
24,2,0.39344262295081966,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
24,3,0.39344262295081966,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
25,1,0.4098360655737705,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 50kW, 1800-2100: 0kW, 2100-0000: 0kW])
25,2,0.4098360655737705,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
25,3,0.4098360655737705,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
26,1,0.4262295081967213,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 25kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 0kW, 1800-2100: 25kW, 2100-0000: 0kW])
26,2,0.4262295081967213,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
26,3,0.4262295081967213,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
27,1,0.4426229508196721,Agent10@259,(Offer  bid:Bid[0000-0300: 100kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 75kW, 1800-2100: 75kW, 2100-0000: 50kW])
27,2,0.4426229508196721,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
27,3,0.4426229508196721,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
28,1,0.45901639344262296,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 50kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 25kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
28,2,0.45901639344262296,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
28,3,0.45901639344262296,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
29,1,0.47540983606557374,Agent10@259,(Offer  bid:Bid[0000-0300: 0kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
29,2,0.47540983606557374,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
29,3,0.47540983606557374,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
30,1,0.4918032786885246,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 50kW, 1800-2100: 0kW, 2100-0000: 0kW])
30,2,0.4918032786885246,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
30,3,0.4918032786885246,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 75kW, 0900-1200: 75kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
31,1,0.5081967213114754,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 50kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
31,2,0.5081967213114754,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
31,3,0.5081967213114754,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
32,1,0.5245901639344263,Agent10@259,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 25kW, 0600-0900: 0kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 0kW])
32,2,0.5245901639344263,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
32,3,0.5245901639344263,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 100kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
33,1,0.5409836065573771,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 0kW])
33,2,0.5409836065573771,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 25kW])
33,3,0.5409836065573771,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 75kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 75kW, 1200-1500: 75kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 25kW])
34,1,0.5573770491803278,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 25kW, 0900-1200: 0kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 0kW, 2100-0000: 25kW])
34,2,0.5573770491803278,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 75kW])
34,3,0.5573770491803278,ConcederNegotiationParty@261,(Accept  bid:Bid[0000-0300: 50kW, 0300-0600: 50kW, 0600-0900: 25kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 75kW, 1800-2100: 50kW, 2100-0000: 75kW])
35,1,0.5737704918032787,Agent10@259,(Offer  bid:Bid[0000-0300: 25kW, 0300-0600: 0kW, 0600-0900: 0kW, 0900-1200: 25kW, 1200-1500: 0kW, 1500-1800: 25kW, 1800-2100: 25kW, 2100-0000: 25kW])
35,2,0.5737704918032787,BoulwareNegotiationParty@260,(Offer  bid:Bid[0000-0300: 75kW, 0300-0600: 0kW, 0600-0900: 75kW, 0900-1200: 100kW, 1200-1500: 100kW, 1500-1800: 100kW, 1800-2100: 50kW, 2100-0000: 75kW])
