1,1,0.01639344262295082,ImprovedRandomAgent@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
23,1,0.3770491803278688,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
23,2,0.3770491803278688,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
23,3,0.3770491803278688,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
24,1,0.39344262295081966,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
24,2,0.39344262295081966,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
24,3,0.39344262295081966,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
25,1,0.4098360655737705,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
25,2,0.4098360655737705,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
25,3,0.4098360655737705,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
26,1,0.4262295081967213,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
26,2,0.4262295081967213,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
26,3,0.4262295081967213,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
27,1,0.4426229508196721,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
27,2,0.4426229508196721,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
27,3,0.4426229508196721,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
28,1,0.45901639344262296,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
28,2,0.45901639344262296,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
28,3,0.45901639344262296,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
29,1,0.47540983606557374,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
29,2,0.47540983606557374,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
29,3,0.47540983606557374,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
30,1,0.4918032786885246,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
30,2,0.4918032786885246,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
30,3,0.4918032786885246,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
31,1,0.5081967213114754,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
31,2,0.5081967213114754,ExampleAgent@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
31,3,0.5081967213114754,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
32,1,0.5245901639344263,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
32,2,0.5245901639344263,ExampleAgent@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 20'' LCD])
32,3,0.5245901639344263,BoulwareNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
33,1,0.5409836065573771,ImprovedRandomAgent@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
33,2,0.5409836065573771,ExampleAgent@1,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
agreement,Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD],0.8740242984783759,0.874024298478376,0.873832627329898
